"Subject","Language","Type","Item","Trial","Score","RT"
4,"L1","kontroll","audio/n6.wav",5,1,1.655907938
4,"L1","visuospatial","audio/n24.wav",6,1,1.858161545
4,"L1","visuospatial","audio/n3.wav",7,1,1.975022461
4,"L1","visuell","audio/n15.wav",8,1,2.208854751
4,"L1","visuospatial","audio/n21.wav",9,1,1.941724179
4,"L1","visuell","audio/n11.wav",10,0,6.167298672
4,"L1","visuospatial","audio/n22.wav",11,1,2.13888269
4,"L1","visuospatial","audio/n23.wav",12,1,3.293316719
4,"L1","visuell","audio/n10.wav",13,1,2.842673111
4,"L1","visuell","audio/n14.wav",14,1,1.907049718
4,"L1","visuell","audio/n9.wav",15,1,3.761604169
4,"L1","visuospatial","audio/n1.wav",16,1,3.226544114
4,"L1","kontroll","audio/n18.wav",17,1,1.924313158
4,"L1","visuell","audio/n16.wav",18,1,3.293889707
4,"L1","visuell","audio/n12.wav",19,1,5.664811894
4,"L1","kontroll","audio/n7.wav",20,0,1.139198659
4,"L1","kontroll","audio/n8.wav",21,1,4.462439436
4,"L1","kontroll","audio/n17.wav",22,1,3.829505001
4,"L1","visuospatial","audio/n4.wav",23,1,3.861548047
4,"L1","kontroll","audio/n20.wav",24,1,2.875766867
4,"L2","visuell","audio/r3.wav",1,1,0.804468899
4,"L2","kontroll","audio/r13.wav",2,1,1.622659781
4,"L2","visuell","audio/r1.wav",3,1,1.841573513
4,"L2","kontroll","audio/r14.wav",4,1,1.355957007
4,"L2","visuell","audio/r6.wav",5,1,1.92369379
4,"L2","visuospatial","audio/r24.wav",6,1,3.474783278
4,"L2","visuospatial","audio/r18.wav",7,1,2.025154557
4,"L2","visuospatial","audio/r23.wav",8,1,2.592139998
4,"L2","visuospatial","audio/r17.wav",9,1,3.075634208
4,"L2","visuospatial","audio/r19.wav",10,1,2.207084145
4,"L2","kontroll","audio/r11.wav",11,1,2.107574024
4,"L2","kontroll","audio/r10.wav",12,1,3.175600016
4,"L2","kontroll","audio/r12.wav",13,1,1.875217433
4,"L2","visuospatial","audio/r20.wav",14,1,1.806993889
4,"L2","kontroll","audio/r16.wav",15,1,3.326321318
4,"L2","visuospatial","audio/r21.wav",16,1,1.790181765
4,"L2","visuell","audio/r7.wav",17,1,1.006432472
4,"L2","visuell","audio/r4.wav",18,1,2.307694056
4,"L2","visuell","audio/r8.wav",19,1,1.322171653
4,"L2","kontroll","audio/r15.wav",20,1,1.188667348
4,"L2","kontroll","audio/r9.wav",21,1,3.410027143
4,"L2","visuell","audio/r5.wav",22,1,1.823387349
4,"L2","visuell","audio/r2.wav",23,1,1.372832535
4,"L2","visuospatial","audio/r22.wav",24,1,1.756621293
5,"L1","visuospatial","audio/n21.wav",1,1,3.49339316
5,"L1","kontroll","audio/n17.wav",2,1,0.405312465
5,"L1","kontroll","audio/n6.wav",3,1,0.471122125
5,"L1","visuell","audio/n14.wav",4,1,1.607302999
5,"L1","visuospatial","audio/n2.wav",5,1,6.300399808
5,"L1","visuell","audio/n15.wav",6,0,4.580334111
5,"L1","kontroll","audio/n7.wav",7,1,3.541661623
5,"L1","kontroll","audio/n8.wav",8,1,0.187803816
5,"L1","visuospatial","audio/n22.wav",9,1,0.603329311
5,"L1","visuospatial","audio/n1.wav",10,1,1.020896535
5,"L1","visuospatial","audio/n3.wav",11,1,0.470892311
5,"L1","visuell","audio/n16.wav",12,1,6.902483824
5,"L1","visuospatial","audio/n23.wav",13,1,1.155350833
5,"L1","visuospatial","audio/n24.wav",14,1,0.56986255
5,"L1","visuell","audio/n12.wav",15,1,5.8659353
5,"L1","visuospatial","audio/n4.wav",16,1,0.30260131
5,"L1","kontroll","audio/n18.wav",17,1,0.236050323
5,"L1","kontroll","audio/n19.wav",18,1,0.184600719
5,"L1","kontroll","audio/n20.wav",19,1,0.571190822
5,"L1","visuell","audio/n10.wav",20,0,4.795695622
5,"L1","kontroll","audio/n5.wav",21,1,1.357329031
5,"L1","visuell","audio/n9.wav",22,1,3.594645912
5,"L1","visuell","audio/n11.wav",23,0,0.288143857
5,"L1","visuell","audio/n13.wav",24,1,7.251568025
5,"L2","visuospatial","audio/r24.wav",1,1,3.427481476
5,"L2","kontroll","audio/r14.wav",2,1,6.514633494
5,"L2","kontroll","audio/r16.wav",3,1,2.207330589
5,"L2","visuospatial","audio/r17.wav",4,1,2.891777016
5,"L2","kontroll","audio/r9.wav",5,1,0.771896733
5,"L2","visuell","audio/r6.wav",6,1,1.406552709
5,"L2","visuell","audio/r5.wav",7,1,1.106261035
5,"L2","visuospatial","audio/r18.wav",8,0,6.916954135
5,"L2","kontroll","audio/r12.wav",9,0,5.215587327
5,"L2","visuospatial","audio/r19.wav",10,1,1.872688348
5,"L2","visuell","audio/r7.wav",11,1,0.269577018
5,"L2","visuell","audio/r2.wav",12,1,1.123296564
5,"L2","visuospatial","audio/r20.wav",13,1,1.425710109
5,"L2","kontroll","audio/r13.wav",14,1,0.554944966
5,"L2","visuell","audio/r8.wav",15,1,1.840083048
5,"L2","visuell","audio/r4.wav",16,0,1.188805186
5,"L2","kontroll","audio/r10.wav",17,1,2.207940792
5,"L2","kontroll","audio/r15.wav",18,1,0.305083085
5,"L2","kontroll","audio/r11.wav",19,1,0.270256771
5,"L2","visuospatial","audio/r21.wav",20,1,0.220702165
5,"L2","visuospatial","audio/r22.wav",21,1,3.244574509
5,"L2","visuell","audio/r1.wav",22,1,10.97761802
5,"L2","visuospatial","audio/r23.wav",23,1,4.313447082
5,"L2","visuell","audio/r3.wav",24,1,0.487507993
6,"L1","visuell","audio/n9.wav",1,1,2.24091291
6,"L1","visuospatial","audio/n3.wav",2,1,0.970760729
6,"L1","visuospatial","audio/n4.wav",3,1,3.124044965
6,"L1","kontroll","audio/n5.wav",4,1,0.988580081
